role,role_slug,city,city_slug,state,category,median,p25,p75,p90,yoy_change,source,updated
Teacher,teacher,Chicago,chicago,IL,education,66960,51840,84240,103680,1.8,BLS OES 2025,May 2026
Teacher,teacher,Atlanta,atlanta,GA,education,58900,45600,74100,91200,1.8,BLS OES 2025,May 2026
Professor,professor,New York,new-york,NY,education,124200,87750,168750,222750,1.5,BLS OES 2025,May 2026
Professor,professor,San Francisco,san-francisco,CA,education,133400,94250,181250,239250,1.5,BLS OES 2025,May 2026
Electrician,electrician,New York,new-york,NY,trades,83700,62100,110700,145800,3.5,BLS OES 2025,May 2026
Electrician,electrician,San Francisco,san-francisco,CA,trades,89900,66700,118900,156550,3.5,BLS OES 2025,May 2026
Electrician,electrician,Chicago,chicago,IL,trades,66960,49680,88560,116640,3.5,BLS OES 2025,May 2026
Construction Manager,construction-manager,New York,new-york,NY,trades,141750,105300,186300,236250,3.1,BLS OES 2025,May 2026
Construction Manager,construction-manager,San Francisco,san-francisco,CA,trades,152250,113050,200150,253750,3.1,BLS OES 2025,May 2026
Corporate Attorney,corporate-attorney,New York,new-york,NY,finance,222750,159300,303750,421200,3.5,BLS OES 2025,May 2026
Corporate Attorney,corporate-attorney,San Francisco,san-francisco,CA,finance,239250,171100,326250,452250,3.5,BLS OES 2025,May 2026
Management Consultant,management-consultant,New York,new-york,NY,finance,155250,110700,213300,290250,4.2,BLS OES 2025,May 2026
Management Consultant,management-consultant,San Francisco,san-francisco,CA,finance,166750,118900,229100,311750,4.2,BLS OES 2025,May 2026
